id,FIPS,Total households!!Median household income (dollars),Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Total households!!Mean household income (dollars),Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Mean household income (dollars)
0500000US,21019,46165,3160,62885,3367
0500000US,21021,43274,2476,64196,3245
0500000US,21023,45827,4482,57309,3985
0500000US,21025,26376,2403,43243,3593
0500000US,21027,48189,3056,58434,2996
0500000US,21029,60534,2127,71527,1810
0500000US,21031,40061,4957,55810,4105
0500000US,21033,44940,6440,67929,8699
0500000US,21035,40219,2017,56113,2687
0500000US,21037,59782,2488,79669,2468
0500000US,21039,39664,4204,59971,7271
0500000US,21041,43258,3524,60809,5942
0500000US,21043,33067,2513,45726,2676
0500000US,21045,34457,2527,45474,2934
0500000US,21047,41235,1849,55019,2900
0500000US,21049,52938,1861,67817,3279
0500000US,21051,26250,3399,39093,3156
0500000US,21053,31115,2774,49008,5532
0500000US,21055,43169,3446,58097,5497
0500000US,21057,32906,4710,42275,3697
0500000US,21059,49836,2043,68599,2492
0500000US,21061,41360,5129,52374,4487
0500000US,21063,33377,4651,43443,3960
0500000US,21065,31337,2576,43614,3773
0500000US,21067,54918,1106,79535,1551
0500000US,21069,42213,3319,57177,3853
0500000US,21071,31267,2458,44930,3883
0500000US,21073,55068,2123,67316,2456
0500000US,21075,28559,5037,43485,3691
0500000US,21077,50204,3849,59104,3357
0500000US,21079,49888,3277,64161,4394
0500000US,21081,45610,4430,59312,3618
0500000US,21083,41615,1819,57201,3576
0500000US,21085,37906,2615,52103,3008
0500000US,21087,37374,3571,57586,9329
0500000US,21089,49343,2313,66593,3308
0500000US,21091,52019,3685,61646,2744
0500000US,21093,53168,1849,69340,2529
0500000US,21095,26324,1943,38158,1661
0500000US,21097,49696,3830,60393,3730
0500000US,21099,37795,2962,50353,4220
0500000US,21101,45389,3458,61596,3874
0500000US,21103,51447,3174,63636,4669
0500000US,21105,40463,4654,55778,9680
0500000US,21107,45738,2211,58611,2272
0500000US,21109,32143,3874,42860,4183
0500000US,21111,54357,556,76517,729
0500000US,21113,56728,3760,82566,4382
0500000US,21115,37559,2511,54150,5894
0500000US,21117,61606,1482,80194,1976
0500000US,21119,29326,3464,43078,2611
0500000US,21121,28790,2342,42570,3630
0500000US,21123,41779,3612,53458,4581
0500000US,21125,39230,2101,52703,2409
0500000US,21127,31813,4863,46305,4281
0500000US,21129,23972,3741,38875,6068
0500000US,21131,30798,4878,39783,4358
0500000US,21133,29856,2344,43053,3234
0500000US,21135,31096,3992,48130,5751
0500000US,21137,39833,2684,50537,3046
0500000US,21139,46076,6476,64241,10037
0500000US,21141,43842,3368,56271,4111
0500000US,21143,50097,5244,64990,6827
0500000US,21145,44486,2350,71901,5217
0500000US,21147,23273,3028,34828,4144
0500000US,21149,50445,2302,60440,3654
0500000US,21151,48687,2335,63966,2225
0500000US,21153,29516,3679,43877,5086
0500000US,21155,38544,2955,54373,3406
0500000US,21157,50731,3792,65258,3792
0500000US,21159,35125,4866,41944,2893
0500000US,21161,41415,5350,63281,5479
0500000US,21163,57963,3960,73426,4297
0500000US,21165,39905,4718,46514,3442
0500000US,21167,50475,3367,63337,3582
0500000US,21169,35809,6063,47629,3187
0500000US,21171,34167,4035,54800,6458
0500000US,21173,41974,3330,55650,3905
0500000US,21175,34419,2504,46585,3963
0500000US,21177,43110,2396,54486,2895
0500000US,21179,57469,3191,79045,11294
0500000US,21181,41354,6933,58566,7248
0500000US,21183,42826,2603,62337,10216
0500000US,21185,97597,2940,124231,3750
0500000US,21187,45338,4853,61428,6087
0500000US,21189,25530,9201,44903,7628
0500000US,21191,52620,6510,59575,3652
0500000US,21193,31046,2631,47987,3446
0500000US,21195,34081,1559,50468,2678
0500000US,21197,36958,3537,50622,5052
0500000US,21199,37921,2782,53882,2802
0500000US,21201,38864,17224,54045,7068
0500000US,21203,36468,3074,49283,2487
0500000US,21205,37639,3489,53829,4703
0500000US,21207,36159,2231,45749,2510
