FIPS,Median Household income 2012,Median Household income 2016,Median Household income 2018,Median household income 2010,Household Median Income
21227,53554.0,46686.0,53601.0,38700.0,52007
22005,73034.0,76581.0,79495.0,63814.0,76589
22015,68244.0,48163.0,55922.0,49154.0,53806
22017,61321.0,37104.0,39077.0,36835.0,40866
22019,59070.0,45962.0,49113.0,39830.0,49452
22033,68213.0,50508.0,52947.0,44964.0,52719
22045,64189.0,41424.0,42994.0,41709.0,45274
22051,62419.0,49678.0,50766.0,46559.0,52558
22055,70640.0,49969.0,60071.0,48368.0,54726
22057,60675.0,51772.0,50296.0,47442.0,53089
22063,64787.0,56534.0,64067.0,53277.0,63159
22071,59423.0,38681.0,38423.0,37726.0,39576
22073,54785.0,37275.0,44059.0,37449.0,41314
22079,53839.0,42582.0,49175.0,40377.0,44852
22097,50321.0,31207.0,32867.0,33388.0,33288
22103,76425.0,64639.0,65392.0,59350.0,67706
