FIPS,Median Household income 2012,Median Household income 2016,Median Household income 2018
18081,75349.0,65991.0,68209.0
18085,64290.0,53963.0,55253.0
18089,61266.0,53681.0,55154.0
18091,57508.0,53507.0,51584.0
18095,52297.0,45495.0,49615.0
18097,56605.0,44874.0,47780.0
18105,56397.0,43582.0,47369.0
18109,62667.0,60530.0,68338.0
18127,72379.0,66196.0,66476.0
18141,59218.0,48358.0,54434.0
18157,58083.0,51361.0,50256.0
18163,57064.0,46064.0,50325.0
18167,56668.0,43910.0,48961.0
18177,46434.0,43401.0,44928.0
19013,58848.0,50470.0,51920.0
19049,90961.0,75899.0,83990.0
19061,63391.0,60456.0,60225.0
19103,69760.0,58064.0,63035.0
19113,72714.0,64639.0,64103.0
19153,73101.0,64067.0,68291.0
19155,63155.0,55972.0,55376.0
19163,71363.0,54730.0,58175.0
19169,60560.0,53371.0,54586.0
19193,53452.0,52324.0,61516.0
20015,73096.0,60182.0,64898.0
20045,65658.0,56345.0,54668.0
20091,96437.0,80553.0,86746.0
20103,72638.0,68299.0,71071.0
20161,54401.0,50737.0,44697.0
20173,63316.0,52193.0,55882.0
20177,61685.0,55710.0,52104.0
20209,47457.0,43129.0,47285.0
21015,77650.0,72374.0,77429.0
21029,65425.0,65359.0,58119.0
21037,69904.0,62536.0,59524.0
21047,47321.0,41140.0,38448.0
21059,54659.0,51764.0,50934.0
21067,67961.0,53178.0,54896.0
21093,61135.0,52148.0,50981.0
21111,63536.0,51991.0,55851.0
21117,65583.0,62182.0,64441.0
21145,57785.0,39048.0,47764.0
21151,51179.0,43840.0,52047.0
21195,45221.0,,
21227,53554.0,46686.0,53601.0
22005,73034.0,76581.0,79495.0
22015,68244.0,48163.0,55922.0
22017,61321.0,37104.0,39077.0
22019,59070.0,45962.0,49113.0
22033,68213.0,50508.0,52947.0
22045,64189.0,41424.0,42994.0
22051,62419.0,49678.0,50766.0
22055,70640.0,49969.0,60071.0
22057,60675.0,51772.0,50296.0
22063,64787.0,56534.0,64067.0
22071,59423.0,38681.0,38423.0
22073,54785.0,37275.0,44059.0
22079,53839.0,42582.0,49175.0
22097,50321.0,31207.0,32867.0
22103,76425.0,64639.0,65392.0
22105,51098.0,48162.0,48205.0
22109,65866.0,46026.0,52820.0
23001,60903.0,49081.0,49697.0
23003,48183.0,39450.0,38233.0
23005,75107.0,65913.0,72452.0
23011,59889.0,51573.0,51653.0
23019,53416.0,47328.0,47217.0
23031,67865.0,60863.0,66614.0
24001,53361.0,45606.0,42068.0
24003,107192.0,96483.0,97814.0
24005,82644.0,72764.0,76182.0
24009,101395.0,98732.0,107884.0
24013,92398.0,90343.0,97430.0
24015,72307.0,74221.0,74452.0
24017,104076.0,95735.0,94368.0
24021,96263.0,90043.0,95850.0
24025,89591.0,84175.0,88603.0
24027,131345.0,120941.0,116984.0
24031,128217.0,99763.0,108188.0
24033,85281.0,79184.0,83034.0
