FIPS,County Name,State,Size,Pop 2012,Pop 2013,Pop 2014,Pop 2015,GDP 2012,GDP 2013,GDP 2014,GDP 2015,GDP/capita 2012,GDP/capita 2013,GDP/capita 2014,GDP/capita 2015,% Change (2012-2015),% Change (2014-2015),Add Zero FIPS
26093,Livingston,MI,Medium,182734,184143,185464,187114,5503417,5719760,5843225,6203825,30117.0937,31061.511980000003,31505.9796,33155.32242,10.1%,5.2%,026093
17143,Peoria,IL,Medium,187192,188454,187442,186520,11891836,11180915,11312949,11700873,63527.479810000004,59329.67727000001,60354.39762999999,62732.53807,-1.3%,3.9%,017143
18157,Tippecanoe,IN,Medium,178429,181361,183705,186076,7531123,7604624,8116069,8449580,42207.95386,41930.86717,44179.90256,45409.29513,7.6%,2.8%,018157
42019,Butler,PA,Medium,184854,185015,185701,185891,8314655,8874725,9395665,9416717,44979.578480000004,47967.597219999996,50595.66184,50657.19696,12.6%,0.1%,042019
37101,Johnston,NC,Medium,174521,177421,180961,185357,3712054,4112658,4299658,4467498,21269.95605,23180.22106,23760.13616,24102.12725,13.3%,1.4%,037101
06017,El Dorado,CA,Medium,180680,181618,183333,184865,5524161,5688452,6191105,6710063,30574.2805,31320.97039,33769.72504,36297.09788,18.7%,7.5%,06017
09005,Litchfield,CT,Medium,187685,187062,185585,184349,6726941,6600998,6618221,6713016,35841.6549,35287.75486,35661.40044,36414.7134,1.6%,2.1%,09005
46099,Minnehaha,SD,Medium,174693,178424,181329,183880,15560633,15049343,16017167,16790863,89074.16438999999,84345.95682,88332.07595,91314.24298,2.5%,3.4%,046099
55087,Outagamie,WI,Medium,179027,180325,182106,183297,9493542,9381761,9458545,10098984,53028.54877,52026.95688,51939.77683,55096.28635,3.9%,6.1%,055087
18163,Vanderburgh,IN,Medium,181097,181720,182128,181917,10386616,10741779,11380930,11622814,57353.882170000004,59111.704820000006,62488.63437000001,63890.75238,11.4%,2.2%,018163
